source_name source_uniprot target_uniprot
H4 p62805 p55201
H4 p62805 q03468
H4 p62805 q04724
H4 p62805 q12830
H4 p62805 q12888
H4 p62805 q16576
H4 p62805 q5ij48
H4 p62805 q86uy6
H4 p62805 q8iuq4
H4 p62805 q8ncd3
H4 p62805 q92793
H4 p62805 q96l73
H4 p62805 q9bqa1
H4 p62805 q9bvi0
H4 p62805 q9nq92
H4 p62805 q9nqr1
H4 p62805 q9nyb0
H4 p62805 q9uer7
H4 p62805 q9y294
H4 p62805 q9y468
H4 q99525 q6rw13
a0a024r9h7 a0a024r9h7 p60369
a0a024r9h7 a0a024r9h7 q7z3s9
a0avk6 a0avk6 q8iuh5
a1a4e9 a1a4e9 q96es7
a1e959 a1e959 q9y6k9
a1l0t0 a1l0t0 p54253
a1l162 a1l162 o00560
a1l162 a1l162 p01375
a1l162 a1l162 q7l2v5
a2rrn7 a2rrn7 p56279
a2ruh7 a2ruh7 q8iuh5
a4d1p6 a4d1p6 p42858
a4qph2 a4qph2 q92624
a5d8v7 a5d8v7 o43463
a5d8v7 a5d8v7 o60341
a6h8y1 a6h8y1 o60885
a6nfr6 a6nfr6 q7z3s9
a7e2v4 a7e2v4 p54253
a7kax9 a7kax9 p62993
a8k1f4 a8k1f4 q9y678
a8k571 a8k571 q7z3s9
a8k932 a8k932 q96la8
a8ka13 a8ka13 q7z3s9
a8mw92 a8mw92 o00161
a8mw92 a8mw92 o60341
a8mw92 a8mw92 p26378
a8mw92 a8mw92 q9bx82
b0lpe5 b0lpe5 p56279
b3ksh4 b3ksh4 q8iuq4
b4dj51 b4dj51 q92624
g3v1x1 g3v1x1 p42858
g3v1x1 g3v1x1 q8iuh5
j3kmy6 j3kmy6 p35609
j3kn16 j3kn16 q6rw13
j3qs41 j3qs41 q9h7b4
o00141 o00141 q9y6k9
o00144 o00144 p60369
o00148 o00148 p54274
o00154 o00154 p54253
o00154 o00154 p54274
o00160 o00160 q01844
o00161 o00161 q8iuh5
o00180 o00180 p60369
o00213 o00213 p54253
o00254 o00254 p62993
o00257 o00257 p12757
o00257 o00257 p56545
o00257 o00257 q01826
o00257 o00257 q06587
o00257 o00257 q13363
o00257 o00257 q99496
o00267 o00267 o95405
o00267 o00267 p04792
o00267 o00267 p54274
o00267 o00267 p57059
o00267 o00267 p63272
o00267 o00267 q13526
o00267 o00267 q58ww2
o00267 o00267 q96it1
o00267 o00267 q96jk9
o00267 o00267 q96km6
o00267 o00267 q9bww4
o00267 o00267 q9h5j0
o00267 o00267 q9nz63
o00267 o00267 q9y6k9
o00268 o00268 p45973
o00291 o00291 p42858
o00294 o00294 p16333
o00295 o00295 q01844
o00303 o00303 p54253
o00308 o00308 q01844
o00311 o00311 p42771
o00327 o00327 p61964
o00330 o00330 q01844
o00330 o00330 q6rw13
o00339 o00339 p54253
o00401 o00401 p62993
o00410 o00410 p54274
o00429 o00429 a8mwd9
o00429 o00429 o00303
o00429 o00429 o00422
o00429 o00429 o00429
o00429 o00429 o14979
o00429 o00429 o15371
o00429 o00429 o43684
o00429 o00429 o43707
o00429 o00429 o75526
o00429 o00429 o95433
o00429 o00429 p00338
o00429 o00429 p00492
o00429 o00429 p04075
o00429 o00429 p05198
o00429 o00429 p05455
o00429 o00429 p06493
o00429 o00429 p06753
o00429 o00429 p07195
o00429 o00429 p07737
o00429 o00429 p09493
o00429 o00429 p10599
o00429 o00429 p11177
o00429 o00429 p11586
o00429 o00429 p11940
o00429 o00429 p12268
o00429 o00429 p12277
o00429 o00429 p12532
o00429 o00429 p12814
o00429 o00429 p12956
o00429 o00429 p13010
o00429 o00429 p13639
o00429 o00429 p13797
o00429 o00429 p14136
o00429 o00429 p14625
o00429 o00429 p14868
o00429 o00429 p15311
o00429 o00429 p15531
o00429 o00429 p17980
o00429 o00429 p18669
o00429 o00429 p18754
o00429 o00429 p19105
o00429 o00429 p22061
o00429 o00429 p22234
o00429 o00429 p22314
o00429 o00429 p23526
o00429 o00429 p24534
o00429 o00429 p25789
o00429 o00429 p26599
o00429 o00429 p26641
o00429 o00429 p27348
o00429 o00429 p29401
o00429 o00429 p29692
o00429 o00429 p30041
o00429 o00429 p30050
o00429 o00429 p31153
o00429 o00429 p31689
o00429 o00429 p31942
o00429 o00429 p31946
o00429 o00429 p31948
o00429 o00429 p32119
o00429 o00429 p34932
o00429 o00429 p35244
o00429 o00429 p35749
o00429 o00429 p35998
o00429 o00429 p37802
o00429 o00429 p38919
o00429 o00429 p40926
o00429 o00429 p43487
o00429 o00429 p43686
o00429 o00429 p46779
o00429 o00429 p46940
o00429 o00429 p49327
o00429 o00429 p49841
o00429 o00429 p50990
o00429 o00429 p53396
o00429 o00429 p53999
o00429 o00429 p54136
o00429 o00429 p55072
o00429 o00429 p55209
o00429 o00429 p55884
o00429 o00429 p60174
o00429 o00429 p61163
o00429 o00429 p61221
o00429 o00429 p61353
o00429 o00429 p61956
o00429 o00429 p62191
o00429 o00429 p62195
o00429 o00429 p62258
o00429 o00429 p62333
o00429 o00429 p62888
o00429 o00429 p63104
o00429 o00429 p63208
o00429 o00429 p63241
o00429 o00429 p68036
o00429 o00429 p78371
o00429 o00429 p81605
o00429 o00429 p84077
o00429 o00429 p84090
o00429 o00429 q09028
o00429 o00429 q12905
o00429 o00429 q13200
o00429 o00429 q13263
o00429 o00429 q13561
o00429 o00429 q13765
o00429 o00429 q13838
o00429 o00429 q14152
o00429 o00429 q14160
o00429 o00429 q14204
o00429 o00429 q14444
o00429 o00429 q14697
o00429 o00429 q14974
o00429 o00429 q15084
o00429 o00429 q15287
o00429 o00429 q15424
o00429 o00429 q16543
o00429 o00429 q16643
o00429 o00429 q2vir3
o00429 o00429 q32p51
o00429 o00429 q58ff7
o00429 o00429 q58fg0
o00429 o00429 q58fg1
o00429 o00429 q8nc51
o00429 o00429 q92598
o00429 o00429 q96c03
o00429 o00429 q96cx2
o00429 o00429 q99497
o00429 o00429 q99714
o00429 o00429 q99729
o00429 o00429 q99832
o00429 o00429 q99873
o00429 o00429 q9byx7
o00429 o00429 q9gzy8
o00429 o00429 q9h307
o00429 o00429 q9nr30
o00429 o00429 q9p2j5
o00429 o00429 q9ube0
o00429 o00429 q9uhv9
o00429 o00429 q9ukv3
o00429 o00429 q9y224
o00429 o00429 q9y230
o00429 o00429 q9y265
o00429 o00429 q9y3b4
o00429 o00429 q9y490
o00429 o00429 q9y5l4
o00429 o00429 q9y5s9
o00459 o00459 p62993
o00506 o00506 q8iuh5
o00555 o00555 p0dp23
o00560 o00560 p60369
o00560 o00560 q8iuq4
o00628 o00628 q96la8
o00716 o00716 q92793
o00746 o00746 p42858
o00750 o00750 p16333
o14490 o14490 p62993
